Date,Temperature_C,Rainfall_mm,Humidity_%
20200504,27.78,10.62,79.65
20200505,28.86,7.67,80.31
20200506,28.23,35.46,79.56
20200507,28.05,9.78,73.61
20200508,27.8,5.72,74.38
20200509,28.59,19.35,76.31
20200510,29.8,14.11,72.11
20200511,29.98,2.87,71.21
20200512,29.17,0.82,76.7
20200513,28.45,1.16,81.98
20200514,28.66,12.73,82.48
20200515,28.81,14.47,82.76
20200516,29.11,12.67,84.3
20200517,29.49,24.8,81.87
20200518,29.69,0.28,81.99
20200519,28.6,2.42,78.49
20200520,27.28,21.68,84.14
20200521,27.54,60.63,87.36
20200522,28.38,9.52,84.88
20200523,29.22,2.06,84.91
20200524,29.17,27.86,87.57
20200525,28.96,17.57,87.29
20200526,28.52,9.68,86.57
20200527,28.08,81.13,89.97
20200528,27.7,25.33,86.77
20200529,27.86,22.72,86.58
20200530,28.02,18.75,87.57
20200531,28.43,7.06,84.93
20200601,28.03,8.94,89.4
20200602,28.04,9.58,90.85
20200603,27.87,8.58,89.11
20200604,28.08,37.22,90.16
20200605,27.77,22.0,91.88
20200606,27.87,17.32,93.27
20200607,28.85,15.39,86.87
20200608,28.52,18.42,88.55
20200609,29.25,6.34,84.89
20200610,28.48,19.79,90.05
20200611,27.9,12.56,94.26
20200612,28.33,6.4,91.29
20200613,28.18,46.03,95.02
20200614,28.56,8.6,92.39
20200615,28.95,6.76,91.38
20200616,28.48,14.86,90.02
20200617,27.83,39.09,94.91
20200618,27.95,18.54,92.76
20200619,28.69,17.76,90.06
20200620,28.47,20.66,91.31
20200621,28.18,8.25,91.18
20200622,28.22,3.84,89.97
20200623,28.92,6.27,89.61
20200624,29.15,6.34,89.06
20200625,29.01,3.02,90.62
20200626,28.36,14.3,93.59
20200627,28.49,27.2,90.36
20200628,27.54,8.09,91.79
20200629,28.39,8.9,87.14
20200630,28.9,4.71,88.53
20200701,28.53,7.29,89.43
20200702,28.8,3.51,90.92
20200703,29.21,2.88,88.21
20200704,28.84,10.74,89.24
20200705,28.49,9.05,91.23
20200706,28.61,5.75,91.38
20200707,28.82,7.47,91.48
20200708,28.98,4.12,89.88
20200709,28.96,21.92,91.66
20200710,29.04,23.38,91.22
20200711,28.22,35.79,93.28
20200712,28.51,27.66,90.78
20200713,29.05,7.71,89.43
20200714,28.21,14.39,90.47
20200715,28.85,6.67,88.9
20200716,28.92,5.09,87.72
20200717,28.92,3.98,88.47
20200718,28.44,11.26,92.02
20200719,28.81,26.36,90.11
20200720,27.91,40.62,94.03
20200721,27.98,43.43,93.71
20200722,27.8,44.76,91.17
20200723,27.83,14.82,90.93
20200724,28.11,8.24,91.5
20200725,28.53,2.0,88.3
20200726,29.32,1.88,86.84
20200727,28.58,13.05,91.41
20200728,28.55,22.21,89.84
20200729,28.56,21.86,89.89
20200730,28.44,1.94,90.18
20200731,29.09,2.06,87.5
20200801,29.69,3.95,86.52
20200802,29.28,7.03,89.49
20200803,30.86,6.27,80.74
20200804,28.95,15.06,89.97
20200805,28.83,8.66,89.48
20200806,28.01,2.91,92.14
20200807,28.87,7.27,90.11
20200808,28.89,5.52,89.79
20200809,28.45,4.03,91.31
20200810,28.93,2.57,89.94
20200811,28.9,9.89,90.56
20200812,29.31,9.49,89.19
20200813,29.23,2.7,87.83
20200814,29.33,7.23,86.84
20200815,27.93,17.75,90.43
20200816,27.78,8.69,92.3
20200817,27.98,17.93,91.37
20200818,28.25,6.07,90.7
20200819,27.67,3.43,91.64
20200820,26.65,15.61,93.67
20200821,26.75,9.86,93.52
20200822,27.14,22.55,91.16
20200823,27.73,10.9,90.49
20200824,28.59,18.49,87.38
20200825,27.7,11.19,92.79
20200826,27.78,2.48,90.0
20200827,27.45,7.07,92.56
20200828,28.19,15.41,88.79
20200829,28.59,9.9,88.52
20200830,28.94,5.4,88.46
20200831,28.99,7.89,88.97
20200901,28.01,27.17,90.43
20200902,27.96,25.83,88.61
20200903,28.74,3.94,85.02
20200904,29.35,3.84,84.82
20200905,29.32,1.09,86.08
20200906,28.63,2.3,89.23
20200907,28.19,7.08,89.65
20200908,28.34,8.08,88.95
20200909,28.86,2.43,86.66
20200910,28.5,16.03,89.12
20200911,28.23,16.02,89.81
20200912,28.53,11.23,89.54
20200913,28.27,17.49,90.9
20200914,28.16,7.48,90.49
20200915,28.42,8.84,89.72
20200916,27.94,5.43,92.02
20200917,28.26,15.8,90.82
20200918,29.38,1.86,83.52
20200919,29.69,2.71,85.37
20200920,30.14,1.31,85.19
20200921,28.41,24.0,90.68
20200922,27.95,19.91,94.59
20200923,27.78,23.82,94.6
20200924,27.63,19.75,94.16
20200925,27.65,42.74,94.7
20200926,27.67,37.56,93.72
20200927,27.69,8.04,91.0
20200928,28.39,1.64,86.4
20200929,28.64,0.22,86.22
20200930,28.7,1.32,84.7
20201001,28.09,12.65,89.04
20201002,27.94,23.13,90.16
20201003,28.33,11.26,89.53
20201004,27.97,8.56,89.64
20201005,27.59,11.21,90.76
20201006,26.77,48.94,90.37
20201007,27.19,16.34,88.51
20201008,28.6,17.85,80.98
20201009,29.06,0.5,84.14
20201010,29.15,0.07,85.19
20201011,29.35,3.34,82.78
20201012,29.1,8.7,82.83
20201013,29.42,6.19,80.58
20201014,29.08,6.39,84.03
20201015,29.36,0.42,81.84
20201016,29.72,0.13,77.84
20201017,29.25,0.19,81.39
20201018,28.22,1.83,86.8
20201019,28.34,0.64,82.18
20201020,27.76,2.47,86.26
20201021,26.13,26.17,94.03
20201022,25.32,39.07,94.78
20201023,25.78,106.48,95.53
20201024,26.41,5.38,92.51
20201025,26.18,3.52,88.08
20201026,26.61,0.83,84.22
20201027,25.93,0.0,86.62
20201028,26.02,0.0,84.7
20201029,27.18,0.52,83.46
20201030,28.01,1.42,84.92
20201031,26.27,29.7,93.36
20201101,25.56,17.98,88.59
20201102,26.45,9.95,87.25
20201103,27.21,3.25,86.35
20201104,24.52,0.61,79.45
20201105,22.95,0.01,70.61
20201106,20.88,0.0,72.53
20201107,21.86,0.0,73.59
20201108,23.44,0.0,77.4
20201109,24.34,0.0,81.2
20201110,23.84,0.0,82.58
20201111,23.64,0.0,83.61
20201112,24.75,0.0,78.88
20201113,24.92,0.0,83.42
20201114,24.23,0.0,84.53
20201115,23.48,0.0,83.46
20201116,23.71,0.0,82.84
20201117,23.47,0.0,83.39
20201118,23.37,0.0,76.31
20201119,22.24,0.0,80.16
20201120,22.67,0.43,84.93
20201121,23.12,4.62,85.51
20201122,20.75,1.13,78.34
20201123,18.0,0.07,77.35
20201124,19.2,0.0,79.24
20201125,20.25,0.0,83.31
20201126,20.57,0.0,86.97
20201127,20.96,0.0,84.51
20201128,20.91,0.0,87.44
20201129,20.65,0.0,87.14
20201130,20.56,0.0,84.5
20201201,21.25,0.0,83.23
20201202,21.29,0.0,79.39
20201203,21.37,0.0,76.39
20201204,20.79,0.0,77.39
20201205,20.44,0.0,77.8
20201206,20.65,0.0,78.23
20201207,19.66,0.0,86.26
20201208,19.42,0.0,85.14
20201209,19.79,0.0,80.8
20201210,19.54,0.0,82.43
20201211,18.87,0.02,84.39
20201212,18.27,0.0,85.3
20201213,19.14,0.0,82.94
20201214,18.9,0.0,84.29
20201215,17.73,0.0,86.95
20201216,18.34,0.0,83.78
20201217,18.13,0.0,85.58
20201218,16.65,0.0,81.03
20201219,13.98,0.0,78.93
20201220,14.24,0.0,80.35
20201221,16.51,0.0,79.15
20201222,17.64,0.0,76.31
20201223,17.43,1.97,78.28
20201224,17.94,0.0,79.57
20201225,17.35,0.0,85.22
20201226,16.31,0.0,81.24
20201227,15.77,0.0,79.4
20201228,16.35,0.0,78.72
20201229,16.14,0.0,80.94
20201230,16.28,0.0,78.45
20201231,17.0,0.0,81.64
20210101,17.31,0.0,80.66
20210102,17.36,0.0,80.74
20210103,17.97,0.0,78.86
20210104,18.87,0.0,76.74
20210105,19.1,0.03,79.15
20210106,20.18,0.0,78.32
20210107,21.4,0.0,73.98
20210108,20.18,0.01,78.55
20210109,19.67,0.0,77.47
20210110,20.22,0.0,78.05
20210111,21.03,0.0,79.97
20210112,19.12,0.0,81.83
20210113,16.79,0.0,74.86
20210114,15.48,0.0,70.73
20210115,15.42,1.11,70.28
20210116,15.92,0.0,73.32
20210117,16.19,0.0,75.57
20210118,17.24,0.0,78.48
20210119,17.24,0.0,78.45
20210120,18.09,1.5,86.67
20210121,18.17,0.12,71.41
20210122,16.23,0.44,72.09
20210123,16.56,0.0,69.83
20210124,17.67,0.0,68.75
20210125,16.66,0.0,75.58
20210126,16.51,0.0,71.82
20210127,15.67,0.0,69.36
20210128,15.79,0.0,68.52
20210129,16.52,0.0,69.32
20210130,15.99,0.0,64.27
20210131,14.09,0.0,58.24
20210201,14.51,0.0,62.2
20210202,14.96,0.0,61.32
20210203,16.66,0.0,64.22
20210204,18.41,0.0,65.46
20210205,19.7,0.0,61.25
20210206,20.05,0.0,60.04
20210207,18.32,0.05,67.94
20210208,18.22,0.0,61.72
20210209,18.25,0.0,59.22
20210210,19.49,0.0,52.63
20210211,20.5,0.0,50.6
20210212,20.73,0.0,50.69
20210213,20.64,0.0,53.45
20210214,21.15,0.0,52.37
20210215,21.9,0.0,48.83
20210216,21.31,0.0,50.82
20210217,21.68,0.0,52.12
20210218,23.39,0.0,53.81
20210219,23.58,0.0,57.34
20210220,22.28,0.0,57.18
20210221,22.31,0.0,49.12
20210222,21.92,0.0,48.09
20210223,22.57,0.0,47.02
20210224,23.99,0.0,44.88
20210225,24.86,0.0,48.39
20210226,24.32,0.0,58.46
20210227,24.88,0.0,61.78
20210228,25.27,0.0,61.55
20210301,26.27,0.0,63.36
20210302,26.1,0.0,59.24
20210303,25.36,0.0,54.61
20210304,24.28,0.0,38.14
20210305,24.61,0.03,60.71
20210306,26.02,1.81,72.64
20210307,25.84,2.54,66.66
20210308,25.62,3.56,70.95
20210309,26.78,1.76,67.33
20210310,27.15,5.88,66.42
20210311,27.39,0.01,65.01
20210312,28.31,0.0,58.23
20210313,27.79,2.36,55.62
20210314,26.69,0.28,55.14
20210315,26.47,1.43,51.66
20210316,27.59,0.0,41.85
20210317,27.98,0.0,34.34
20210318,28.64,0.0,31.57
20210319,28.82,0.0,38.4
20210320,28.61,0.0,40.91
20210321,29.47,0.0,44.61
20210322,30.63,0.0,37.8
20210323,30.14,0.0,38.7
20210324,30.58,0.0,39.75
20210325,29.99,0.0,36.31
20210326,29.19,0.0,34.96
20210327,28.92,0.0,31.98
20210328,29.09,0.0,32.62
20210329,30.19,0.33,51.15
20210330,30.21,4.6,60.69
20210331,30.55,3.77,66.47
20210401,29.97,4.89,63.98
20210402,29.79,0.57,60.6
20210403,30.14,0.39,55.61
20210404,29.81,4.03,49.44
20210405,29.98,1.36,45.45
20210406,29.82,5.37,41.7
20210407,29.9,0.0,56.39
20210408,30.1,0.32,59.69
20210409,30.33,3.57,58.84
20210410,30.23,5.97,53.51
20210411,31.76,0.34,50.93
20210412,32.8,0.17,46.99
20210413,32.51,0.06,41.36
20210414,31.97,0.07,44.71
20210415,30.25,0.17,56.88
20210416,29.25,0.54,53.23
20210417,28.52,16.41,62.09
20210418,28.92,20.68,62.28
20210419,30.57,2.7,53.69
20210420,30.4,2.99,59.49
20210421,30.85,0.84,62.21
20210422,30.33,11.98,61.92
20210423,30.55,1.32,51.62
20210424,31.17,0.0,39.86
20210425,30.92,0.0,46.2
20210426,32.4,0.0,48.24
20210427,32.38,0.0,52.66
20210428,32.14,0.12,53.75
20210429,31.0,1.88,55.18
20210430,31.58,2.7,50.18
20210501,31.86,0.31,52.83
20210502,31.75,1.6,53.79
20210503,28.28,11.22,71.78
20210504,26.66,28.43,77.14
20210505,26.37,11.29,74.04
20210506,28.4,3.52,64.72
20210507,29.17,10.65,66.93
20210508,29.1,7.74,67.43
20210509,29.45,4.1,65.1
20210510,29.4,16.41,68.67
20210511,28.58,26.85,75.48
20210512,28.26,13.54,74.53
20210513,28.46,12.04,75.2
20210514,28.56,17.14,77.9
20210515,30.54,8.38,71.2
20210516,30.52,25.82,73.75
20210517,31.29,9.71,72.55
20210518,30.88,15.62,76.57
20210519,30.1,4.81,81.16
20210520,30.0,3.99,82.51
20210521,29.88,4.61,79.98
20210522,30.37,1.31,79.18
20210523,31.32,0.02,73.91
20210524,29.68,3.86,80.36
20210525,29.5,36.88,81.77
20210526,28.11,13.04,81.27
20210527,28.34,5.9,81.74
20210528,30.01,7.18,80.1
20210529,30.13,2.96,78.81
20210530,30.16,3.71,79.45
20210531,28.27,47.63,91.9
20210601,28.63,24.14,89.77
20210602,28.22,16.08,89.55
20210603,29.23,2.91,86.94
20210604,29.25,3.83,87.43
20210605,28.85,37.86,91.12
20210606,29.1,40.19,89.92
20210607,28.92,18.24,90.71
20210608,28.03,16.35,93.53
20210609,27.6,22.78,90.97
20210610,27.92,12.43,86.29
20210611,27.32,20.57,91.8
20210612,27.53,20.91,92.68
20210613,28.73,3.43,88.19
20210614,28.87,9.03,88.96
20210615,28.61,10.54,89.61
20210616,28.37,7.11,88.18
20210617,27.52,10.99,88.23
20210618,27.18,31.1,89.13
20210619,27.31,36.07,89.07
20210620,26.97,10.9,90.62
20210621,27.69,17.14,90.19
20210622,27.9,7.06,88.14
20210623,28.0,3.38,87.31
20210624,28.55,5.34,87.55
20210625,28.25,3.29,87.0
20210626,28.46,6.64,88.4
20210627,28.78,2.36,87.74
20210628,28.35,14.41,89.95
20210629,28.6,15.32,90.51
20210630,28.81,42.07,90.71
20210701,28.49,40.42,91.81
20210702,27.45,37.91,91.6
20210703,28.41,24.0,91.06
20210704,29.17,12.35,84.24
20210705,29.07,8.72,88.96
20210706,28.91,28.16,89.95
20210707,28.76,19.54,91.67
20210708,28.62,6.23,89.94
20210709,28.57,0.88,88.34
20210710,28.44,4.43,88.5
20210711,29.02,15.51,85.11
20210712,29.14,4.79,83.51
20210713,28.05,6.42,90.74
20210714,28.47,2.64,87.25
20210715,28.77,1.14,85.63
20210716,27.84,8.92,87.29
20210717,28.61,6.38,88.99
20210718,27.65,10.11,90.69
20210719,27.57,13.56,92.04
20210720,28.84,30.03,85.95
20210721,28.8,5.15,86.9
20210722,28.96,22.02,87.71
20210723,27.92,6.88,92.61
20210724,28.62,22.86,90.59
20210725,28.79,8.92,89.95
20210726,29.81,2.81,87.23
20210727,29.59,8.9,89.76
20210728,28.67,8.02,92.34
20210729,27.75,16.66,91.83
20210730,28.23,16.15,90.5
20210731,28.15,11.72,90.9
20210801,27.99,20.09,90.9
20210802,28.44,9.08,89.44
20210803,28.95,19.35,88.58
20210804,28.66,18.67,88.59
20210805,29.95,11.41,82.07
20210806,28.65,28.43,92.07
20210807,28.26,37.48,92.11
20210808,29.12,8.99,89.53
20210809,29.12,12.66,88.6
20210810,29.02,9.88,91.1
20210811,29.3,5.51,90.15
20210812,28.31,22.12,91.54
20210813,27.88,21.81,89.11
20210814,28.94,11.89,88.63
20210815,28.4,16.94,91.07
20210816,28.57,4.9,86.87
20210817,28.38,9.49,89.51
20210818,27.65,14.4,94.08
20210819,27.31,5.57,92.54
20210820,27.7,4.11,90.36
20210821,28.06,1.14,87.65
20210822,28.36,5.24,85.93
20210823,28.77,15.83,89.08
20210824,28.57,13.38,91.15
20210825,28.44,16.33,91.38
20210826,28.37,6.39,90.17
20210827,27.06,22.37,93.12
20210828,27.76,8.55,90.33
20210829,27.41,4.01,91.26
20210830,27.05,12.03,91.92
20210831,28.14,3.74,88.65
20210901,27.3,7.11,92.9
20210902,27.02,10.19,91.37
20210903,28.08,0.44,81.22
20210904,29.08,2.44,80.62
20210905,29.35,6.9,84.82
20210906,28.42,13.58,89.69
20210907,27.75,7.32,91.13
20210908,27.67,4.13,88.58
20210909,28.28,5.04,86.71
20210910,27.89,6.57,90.8
20210911,28.18,18.95,88.41
20210912,28.4,1.6,88.57
20210913,27.72,2.22,92.26
20210914,27.38,6.81,92.06
20210915,28.4,8.13,88.03
20210916,27.61,15.09,91.65
20210917,27.71,8.62,89.74
20210918,26.93,10.67,91.99
20210919,27.42,20.82,88.64
20210920,26.79,3.48,92.87
20210921,26.54,2.33,91.76
20210922,26.51,2.71,90.52
20210923,28.16,1.9,82.79
20210924,28.8,0.1,80.93
20210925,28.63,8.49,83.68
20210926,28.92,17.39,85.8
20210927,28.47,8.59,87.39
20210928,27.19,9.98,90.6
20210929,26.88,6.5,90.4
20210930,27.47,12.21,87.06
20211001,27.5,0.64,77.46
20211002,27.85,3.41,84.71
20211003,27.94,9.92,90.03
20211004,27.2,20.26,94.16
20211005,27.45,16.21,85.91
20211006,27.52,23.91,82.27
20211007,28.24,7.45,82.08
20211008,28.62,17.73,83.35
20211009,28.69,7.1,81.88
20211010,28.75,5.39,83.3
20211011,28.07,0.04,86.37
20211012,27.93,1.72,90.62
20211013,28.29,2.95,88.69
20211014,28.64,2.37,83.92
20211015,29.06,1.79,85.11
20211016,28.64,1.69,86.57
20211017,27.78,11.26,89.02
20211018,26.13,24.67,94.11
20211019,26.43,22.11,93.74
20211020,26.95,22.87,91.7
20211021,25.73,0.99,86.65
20211022,24.28,5.64,76.82
20211023,24.66,0.07,76.56
20211024,25.52,0.0,74.33
20211025,24.97,1.25,80.08
20211026,25.0,0.93,78.93
20211027,25.06,1.33,81.1
20211028,25.33,0.02,82.29
20211029,25.3,0.0,84.78
20211030,24.45,0.0,86.42
20211031,23.32,0.0,83.83
20211101,22.15,0.0,76.82
20211102,21.9,0.0,76.49
20211103,22.6,0.0,81.16
20211104,22.82,0.0,79.67
20211105,21.54,0.0,80.91
20211106,21.28,0.0,78.81
20211107,21.02,0.0,82.39
20211108,20.68,0.0,82.46
20211109,21.12,0.0,83.32
20211110,21.5,0.0,81.82
20211111,22.29,0.0,78.12
20211112,23.01,0.0,81.1
20211113,22.81,0.87,88.85
20211114,22.95,6.86,90.58
20211115,22.73,6.58,90.22
20211116,22.18,3.01,88.61
20211117,21.14,0.43,82.06
20211118,21.29,0.0,74.52
20211119,21.61,0.0,76.65
20211120,22.05,0.0,80.9
20211121,22.97,0.0,79.58
20211122,23.3,0.0,79.49
20211123,22.83,0.0,82.45
20211124,21.18,0.0,83.02
20211125,19.76,0.0,72.7
20211126,18.98,0.0,73.25
20211127,19.1,0.0,72.14
20211128,19.15,0.0,70.43
20211129,18.54,0.0,76.89
20211130,20.1,0.0,75.02
20211201,21.17,0.0,76.08
20211202,21.36,0.0,75.29
20211203,21.89,0.03,79.77
20211204,22.28,1.34,84.84
20211205,21.67,7.33,92.19
20211206,21.82,80.46,94.92
20211207,22.07,14.31,88.58
20211208,20.99,0.74,87.52
20211209,21.28,0.67,82.79
20211210,19.91,1.08,83.86
20211211,18.82,1.54,81.46
20211212,16.8,0.0,75.18
20211213,16.82,0.0,77.36
20211214,17.28,0.0,82.77
20211215,17.01,0.0,83.12
20211216,16.67,0.0,81.88
20211217,16.94,0.0,79.82
20211218,17.09,0.0,77.67
20211219,16.22,0.0,84.73
20211220,14.54,0.0,80.57
20211221,16.5,0.0,83.48
20211222,17.36,0.1,84.63
20211223,17.86,0.04,77.05
20211224,17.89,0.02,79.87
20211225,18.53,0.0,73.17
20211226,18.06,0.0,73.72
20211227,18.12,0.0,71.86
20211228,18.15,0.0,76.13
20211229,17.51,0.0,80.0
20211230,18.07,0.0,79.15
20211231,17.35,0.0,82.09
20220101,17.24,0.0,80.9
20220102,16.89,0.0,81.38
20220103,17.06,0.0,81.87
20220104,16.71,0.0,80.82
20220105,16.94,0.0,75.79
20220106,17.71,0.0,75.92
20220107,18.38,0.0,78.11
20220108,18.49,0.0,82.23
20220109,19.17,0.0,80.02
20220110,19.75,0.0,80.95
20220111,19.82,0.13,81.67
20220112,19.63,3.73,85.06
20220113,18.6,5.21,83.88
20220114,17.21,0.39,76.62
20220115,17.54,0.1,73.98
20220116,16.81,0.04,77.77
20220117,16.92,0.0,77.36
20220118,17.16,0.0,79.84
20220119,18.29,0.0,73.85
20220120,17.32,0.0,79.31
20220121,17.71,0.0,65.88
20220122,18.52,0.0,63.86
20220123,18.35,0.34,72.05
20220124,17.57,4.92,85.13
20220125,18.64,2.11,78.43
20220126,18.59,1.74,75.78
20220127,17.14,4.68,77.92
20220128,14.42,0.51,72.14
20220129,14.24,0.0,73.63
20220130,15.06,0.0,70.88
20220131,16.6,0.0,62.65
20220201,17.11,0.15,74.44
20220202,18.26,0.21,64.03
20220203,18.08,0.16,70.99
20220204,18.58,11.35,78.37
20220205,17.04,12.49,75.77
20220206,15.35,13.06,71.49
20220207,14.95,0.0,70.15
20220208,16.8,0.0,64.21
20220209,18.14,0.0,62.3
20220210,18.28,0.24,73.24
20220211,18.29,0.23,73.48
20220212,16.86,0.01,64.48
20220213,16.95,0.0,66.85
20220214,17.4,0.0,67.56
20220215,18.13,0.0,63.0
20220216,18.43,0.0,59.64
20220217,18.94,0.0,55.72
20220218,19.33,0.0,52.24
20220219,19.47,0.0,52.18
20220220,18.88,1.91,70.3
20220221,19.32,1.83,69.12
20220222,20.62,1.13,61.75
20220223,21.77,0.06,63.46
20220224,22.39,0.01,68.37
20220225,22.5,1.96,72.65
20220226,22.67,0.85,72.29
20220227,23.31,0.0,60.6
20220228,23.78,0.4,63.96
20220301,23.24,0.09,58.92
20220302,22.54,0.0,55.38
20220303,23.25,0.0,51.88
20220304,23.71,0.0,49.15
20220305,23.86,0.0,52.32
20220306,24.28,0.0,50.77
20220307,24.58,0.0,54.25
20220308,25.18,0.0,49.3
20220309,25.26,0.0,51.2
20220310,24.97,0.0,46.04
20220311,25.07,0.0,46.16
20220312,25.23,0.0,44.19
20220313,25.46,0.0,47.45
20220314,26.03,0.0,48.71
20220315,26.84,0.0,45.58
20220316,27.21,0.0,44.58
20220317,28.08,0.0,48.54
20220318,28.2,0.0,45.9
20220319,28.08,0.0,46.59
20220320,27.01,0.0,54.08
20220321,26.6,0.0,56.86
20220322,28.38,0.0,59.49
20220323,29.83,0.0,48.92
20220324,29.28,0.21,55.27
20220325,28.81,0.63,67.92
20220326,29.17,2.64,69.37
20220327,28.92,1.31,67.59
20220328,28.47,2.91,65.87
20220329,28.18,6.09,70.44
20220330,28.29,4.89,71.27
20220331,29.58,1.21,67.78
20220401,29.86,1.96,67.52
20220402,29.43,2.94,67.86
20220403,29.27,0.68,66.12
20220404,29.71,1.29,63.43
20220405,29.42,3.88,64.99
20220406,29.55,2.32,65.61
20220407,30.71,0.0,58.22
20220408,30.65,0.0,49.45
20220409,30.62,0.23,56.61
20220410,30.56,3.43,60.51
20220411,31.1,2.4,62.27
20220412,30.78,3.42,64.45
20220413,31.17,3.22,62.14
20220414,31.2,1.64,62.01
20220415,32.0,0.56,59.08
20220416,30.88,1.05,66.46
20220417,31.1,1.55,61.53
20220418,31.2,1.87,61.57
20220419,31.07,6.48,63.01
20220420,28.85,13.63,69.95
20220421,28.39,8.56,68.11
20220422,29.79,7.62,67.83
20220423,29.5,22.72,74.02
20220424,30.51,12.45,69.77
20220425,31.24,0.72,66.14
20220426,31.51,2.21,66.83
20220427,31.0,7.05,69.01
20220428,31.63,0.59,64.57
20220429,32.1,1.25,61.99
20220430,31.26,3.3,64.42
20220501,31.51,0.57,57.07
20220502,31.03,1.82,58.1
20220503,29.41,11.52,67.62
20220504,28.3,12.6,72.1
20220505,28.85,7.92,72.23
20220506,29.45,13.67,69.08
20220507,30.74,4.54,60.97
20220508,30.63,1.97,62.8
20220509,29.23,8.41,72.47
20220510,27.94,18.99,82.0
20220511,28.56,32.29,83.72
20220512,29.44,17.57,80.9
20220513,29.09,45.1,84.59
20220514,29.52,22.6,83.8
20220515,29.79,3.11,82.72
20220516,28.94,2.85,86.06
20220517,28.61,16.13,87.15
20220518,27.65,19.02,86.83
20220519,29.14,27.61,84.92
20220520,28.54,27.51,86.26
